,angle,curLapTime,distFromStart,distRaced,rpm,speedX,speedY,speedZ,steer,totalDistFromStart,trackPos
1,0.00115514,40.216,1101.97,1201.98,5443.55,102.107,-6.61531,0.0876955,0.1208509248192632,1101.97,-1.17174
10,-0.0496173,38.416,1053.03,1153.03,5637.99,105.543,-0.486626,2.91027,-0.05214577115745958,1053.03,-1.05791
100,0.0519732,20.3,432.589,532.594,5716.18,135.834,-0.00347443,1.23793,0.19620953376606298,432.589,-0.307737
101,0.00521564,20.098,425.134,525.139,5704.97,135.788,0.847341,0.0100052,0.044513597747755165,425.134,-0.279117
102,-0.0206655,19.896,417.518,517.523,5711.23,135.753,0.262601,-0.554904,-0.03647452952930693,417.518,-0.293058
103,-0.0148886,19.694,409.904,509.908,5731.18,135.703,-1.5933,-0.0209591,-0.016356685714356733,409.904,-0.310352
104,0.027128,19.492,402.343,502.347,5744.98,136.03,-1.66676,1.58337,0.11471420592393304,402.343,-0.283631
105,0.0284956,19.29,394.851,494.855,5744.78,136.488,-1.4656,2.18962,0.11489341192738228,394.851,-0.241891
106,0.0255801,19.088,387.31,487.314,5759.06,136.955,-1.67322,2.66345,0.10165228719569448,387.31,-0.202283
107,0.0221877,18.886,379.72,479.724,5778.92,137.488,-1.83406,2.67187,0.08712774261679629,379.72,-0.165021
108,0.0217305,18.684,372.077,472.081,5874.84,138.047,-1.96393,2.68195,0.08202252981716407,372.077,-0.128522
109,0.0375916,18.482,364.4,464.404,5788.94,138.072,-1.28982,2.31634,0.12824167917465798,364.4,-0.085839
11,-0.0297391,38.216,1047.16,1147.16,5671.88,105.822,-0.519437,3.07465,0.01392550463792254,1047.16,-1.08588
110,0.0396275,18.28,356.702,456.706,5860.78,137.816,0.401378,1.21535,0.13012364014747335,356.702,-0.0398539
111,-0.00274981,18.078,349.015,449.02,5794.4,136.516,0.421213,-0.185513,-0.005345097081269918,349.015,-0.0340782
112,-0.000378177,17.876,341.392,441.396,5724.86,135.214,0.544143,-0.15918,0.002690275221726806,341.392,-0.0389405
113,-0.00227937,17.674,333.84,433.844,5662.71,134.001,0.50341,-0.0819763,-0.002826590052706991,333.84,-0.0442887
114,-0.00102971,17.472,326.354,426.358,5631.48,132.843,0.513764,0.227252,0.0016903912709771048,326.354,-0.0496806
115,-0.00301627,17.27,318.931,418.935,5583.38,131.756,0.445327,0.251326,-0.00405993560399519,318.931,-0.0554115
116,-0.00204261,17.068,311.567,411.571,5537.98,130.707,0.481025,0.418097,-0.0003758895661782986,311.567,-0.0612594
